Algorithm,Size,Run,Time(ns),Swaps,Iterations
HeapSort,1000,0,729600,9123,16866
RadixSort,1000,0,1470400,12000,18054
HeapSort,1000,1,139000,9070,16833
RadixSort,1000,1,675400,12000,18054
HeapSort,1000,2,129900,9089,16850
RadixSort,1000,2,726500,12000,18054
HeapSort,1000,3,132000,9075,16844
RadixSort,1000,3,1133200,12000,18054
HeapSort,1000,4,143000,9066,16851
RadixSort,1000,4,222000,12000,18054
HeapSort,10000,0,1606100,124134,235203
RadixSort,10000,0,1301000,120000,180054
HeapSort,10000,1,1686200,124324,235460
RadixSort,10000,1,1263000,120000,180054
HeapSort,10000,2,1506700,124251,235360
RadixSort,10000,2,1065100,120000,180054
HeapSort,10000,3,1527600,124380,235606
RadixSort,10000,3,1548200,120000,180054
HeapSort,10000,4,1352600,124350,235488
RadixSort,10000,4,1525400,120000,180054
HeapSort,100000,0,14774800,1575055,3019576
RadixSort,100000,0,8661800,1200000,1800054
HeapSort,100000,1,19626400,1574633,3019323
RadixSort,100000,1,11003700,1200000,1800054
HeapSort,100000,2,13859500,1574780,3019463
RadixSort,100000,2,6434300,1200000,1800054
HeapSort,100000,3,12499100,1574964,3019686
RadixSort,100000,3,5148900,1200000,1800054
HeapSort,100000,4,10196500,1574951,3019366
RadixSort,100000,4,4806600,1200000,1800054
HeapSort,500000,0,67413700,9024391,17397309
RadixSort,500000,0,23706100,6000000,9000054
HeapSort,500000,1,61561000,9024417,17396729
RadixSort,500000,1,39642500,6000000,9000054
HeapSort,500000,2,192273100,9024326,17397001
RadixSort,500000,2,26415900,6000000,9000054
HeapSort,500000,3,62953500,9023901,17396734
RadixSort,500000,3,26275100,6000000,9000054
HeapSort,500000,4,60479400,9024394,17396746
RadixSort,500000,4,25891800,6000000,9000054
HeapSort,1000000,0,157481600,19048397,36793892
RadixSort,1000000,0,44966100,12000000,18000054
HeapSort,1000000,1,129987100,19048580,36794418
RadixSort,1000000,1,41019600,12000000,18000054
HeapSort,1000000,2,117703200,19048913,36794262
RadixSort,1000000,2,44829200,12000000,18000054
HeapSort,1000000,3,117705600,19047337,36792087
RadixSort,1000000,3,38921800,12000000,18000054
HeapSort,1000000,4,116564600,19047137,36792371
RadixSort,1000000,4,45707800,12000000,18000054
